transcript_id	gene_id	length	parent_name	l_utr5	l_utr3	l_cds
YDL237W_mRNA	AIM6	1441	YDL237W	32	239	1170
YDR063W_mRNA	AIM7	731	YDR063W	162	122	447
YER080W_mRNA	AIM9	2009	YER080W	45	83	1881
YMR092C_mRNA	AIP1	2010	YMR092C	82	83	1845
YIL079C_mRNA	AIR1	1250	YIL079C	43	127	1080
YDL175C_mRNA	AIR2	1287	YDL175C	27	228	1032
YBR059C_mRNA	AKL1	3597	YBR059C	97	176	3324
YDR264C_mRNA	AKR1	2595	YDR264C	58	245	2292
YOR034C_mRNA	AKR2	2520	YOR034C	97	176	2247
YOR335C_mRNA	ALA1	3147	YOR335C	97	176	2874
YJL122W_mRNA	ALB1	717	YJL122W	29	163	525
YMR170C_mRNA	ALD2	1730	YMR170C	129	83	1518
YMR169C_mRNA	ALD3	1791	YMR169C	97	176	1518
YOR374W_mRNA	ALD4	1762	YOR374W	60	145	1557
YER073W_mRNA	ALD5	1833	YER073W	97	176	1560
YPL061W_mRNA	ALD6	1729	YPL061W	104	125	1500
YOR175C_mRNA	ALE1	2130	YOR175C	97	176	1857
YNL148C_mRNA	ALF1	1035	YNL148C	97	176	762
YBR110W_mRNA	ALG1	1620	YBR110W	97	176	1347
YNL048W_mRNA	ALG11	1765	YNL048W	18	103	1644
YNR030W_mRNA	ALG12	1887	YNR030W	77	157	1653
YGL047W_mRNA	ALG13	735	YGL047W	87	42	606
YBR070C_mRNA	ALG14	814	YBR070C	64	39	711
YGL065C_mRNA	ALG2	1624	YGL065C	77	38	1509
YBL082C_mRNA	ALG3	1647	YBL082C	97	176	1374
YPL227C_mRNA	ALG5	1217	YPL227C	138	77	1002
YOR002W_mRNA	ALG6	1794	YOR002W	81	81	1632
YBR243C_mRNA	ALG7	1617	YBR243C	97	176	1344
YOR067C_mRNA	ALG8	1880	YOR067C	61	88	1731
YNL219C_mRNA	ALG9	1938	YNL219C	97	176	1665
YGL021W_mRNA	ALK1	2553	YGL021W	97	176	2280
YBL009W_mRNA	ALK2	2301	YBL009W	97	176	2028
YML086C_mRNA	ALO1	1842	YML086C	156	108	1578
YNL270C_mRNA	ALP1	1992	YNL270C	97	176	1719
YOL130W_mRNA	ALR1	2850	YOL130W	97	176	2577
YFL050C_mRNA	ALR2	2847	YFL050C	97	176	2574
YLR089C_mRNA	ALT1	2189	YLR089C	202	211	1776
YDR111C_mRNA	ALT2	1794	YDR111C	97	176	1521
YKR021W_mRNA	ALY1	3018	YKR021W	97	176	2745
YJL084C_mRNA	ALY2	3411	YJL084C	97	176	3138
YGR225W_mRNA	AMA1	2052	YGR225W	97	176	1779
YGR225W_pre-mRNA	AMA1	2145	YGR225W	97	176	1872
YML035C_mRNA	AMD1	2703	YML035C	97	176	2430
YDR242W_mRNA	AMD2	1809	YDR242W	14	148	1647
YBR211C_mRNA	AME1	1245	YBR211C	97	176	972
YOR378W_mRNA	AMF1	1818	YOR378W	97	176	1545
YBR158W_mRNA	AMN1	2063	YBR158W	263	153	1647
YGL156W_mRNA	AMS1	3522	YGL156W	97	176	3249
YJR047C_mRNA	ANB1	744	YJR047C	97	176	471
YEL036C_mRNA	ANP1	1727	YEL036C	145	82	1500
YKL047W_mRNA	ANR2	1688	YKL047W	57	83	1548
YHR126C_mRNA	ANS1	750	YHR126C	97	176	477
YPR128C_mRNA	ANT1	1257	YPR128C	97	176	984
YPR180W_mRNA	AOS1	1135	YPR180W	21	73	1041
YCL050C_mRNA	APA1	1114	YCL050C	62	89	963
YDR530C_mRNA	APA2	1248	YDR530C	97	176	975
YNL172W_mRNA	APC1	5517	YNL172W	97	176	5244
YDL008W_mRNA	APC11	649	YDL008W	30	124	495
YLR127C_mRNA	APC2	2832	YLR127C	97	176	2559
YDR118W_mRNA	APC4	2229	YDR118W	97	176	1956
YOR249C_mRNA	APC5	2328	YOR249C	97	176	2055
YLR102C_mRNA	APC9	1068	YLR102C	97	176	795
YBR151W_mRNA	APD1	1232	YBR151W	146	138	948
YKL103C_mRNA	APE1	1856	YKL103C	70	244	1542
YKL157W_mRNA	APE2	3037	YKL157W	34	147	2856
YKL157W_pre-mRNA	APE2	3420	YKL157W	34	147	3239
YBR286W_mRNA	APE3	1710	YBR286W	30	69	1611
YHR113W_mRNA	APE4	1650	YHR113W	39	141	1470
YDR525W_mRNA	API2	600	YDR525W	97	176	327
YNL077W_mRNA	APJ1	1857	YNL077W	97	176	1584
YJR005W_mRNA	APL1	2373	YJR005W	97	176	2100
YKL135C_mRNA	APL2	2451	YKL135C	97	176	2178
YBL037W_mRNA	APL3	3348	YBL037W	97	176	3075
YPR029C_mRNA	APL4	2767	YPR029C	52	219	2496
YPL195W_mRNA	APL5	3069	YPL195W	97	176	2796
YGR261C_mRNA	APL6	2567	YGR261C	48	92	2427
YPL259C_mRNA	APM1	1698	YPL259C	97	176	1425
YHL019C_mRNA	APM2	1937	YHL019C	39	83	1815
YBR288C_mRNA	APM3	1559	YBR288C	28	82	1449
YOL062C_mRNA	APM4	1746	YOL062C	97	176	1473
YKL114C_mRNA	APN1	1374	YKL114C	97	176	1101
YBL019W_mRNA	APN2	1833	YBL019W	97	176	1560
YNL094W_mRNA	APP1	2180	YNL094W	266	153	1761
YIL040W_mRNA	APQ12	550	YIL040W	18	118	414
YJL075C_mRNA	APQ13	687	YJL075C	97	176	414
YLR170C_mRNA	APS1	772	YLR170C	47	257	468
YJR058C_mRNA	APS2	714	YJR058C	97	176	441
YJL024C_mRNA	APS3	823	YJL024C	22	219	582
YJL024C_pre-mRNA	APS3	900	YJL024C	22	219	659
YML022W_mRNA	APT1	835	YML022W	63	211	561
YDR441C_mRNA	APT2	816	YDR441C	97	176	543
YNL065W_mRNA	AQR1	2031	YNL065W	97	176	1758
YPR192W_mRNA	AQY1	1188	YPR192W	97	176	915
YLL052C_mRNA	AQY2	720	YLL052C	97	176	447
YBR149W_mRNA	ARA1	1196	YBR149W	59	105	1032
YMR041C_mRNA	ARA2	1278	YMR041C	97	176	1005
YER036C_mRNA	ARB1	1983	YER036C	56	97	1830
YGL105W_mRNA	ARC1	1319	YGL105W	65	126	1128
YIL062C_mRNA	ARC15	611	YIL062C	38	111	462
YLR370C_mRNA	ARC18	792	YLR370C	51	207	534
YKL013C_mRNA	ARC19	805	YKL013C	45	247	513
YNR035C_mRNA	ARC35	1115	YNR035C	41	48	1026
YBR234C_mRNA	ARC40	1249	YBR234C	46	51	1152
YHR013C_mRNA	ARD1	902	YHR013C	41	147	714
YCR048W_mRNA	ARE1	2103	YCR048W	97	176	1830
YNR019W_mRNA	ARE2	2199	YNR019W	97	176	1926
YDL192W_mRNA	ARF1	831	YDL192W	110	178	543
YDL137W_mRNA	ARF2	834	YDL137W	136	155	543
YDL137W_pre-mRNA	ARF2	1166	YDL137W	136	155	875
YOR094W_mRNA	ARF3	827	YOR094W	103	175	549
YOL058W_mRNA	ARG1	1515	YOL058W	80	175	1260
YJL071W_mRNA	ARG2	1995	YJL071W	97	176	1722
YJL088W_mRNA	ARG3	1287	YJL088W	97	176	1014
YHR018C_mRNA	ARG4	1605	YHR018C	61	155	1389
YER069W_mRNA	ARG5%2C6	2786	YER069W	49	148	2589
YMR062C_mRNA	ARG7	1526	YMR062C	89	114	1323
YOL140W_mRNA	ARG8	1542	YOL140W	97	176	1269
YMR042W_mRNA	ARG80	804	YMR042W	97	176	531
YML099C_mRNA	ARG81	2913	YML099C	97	176	2640
YDR173C_mRNA	ARG82	1338	YDR173C	97	176	1065
YDR376W_mRNA	ARH1	1588	YDR376W	71	38	1479
YGL157W_mRNA	ARI1	1223	YGL157W	93	89	1041
YNL020C_mRNA	ARK1	2200	YNL020C	120	166	1914
YBR164C_mRNA	ARL1	806	YBR164C	146	111	549
YPL051W_mRNA	ARL3	867	YPL051W	97	176	594
YHL040C_mRNA	ARN1	2154	YHL040C	97	176	1881
YHL047C_mRNA	ARN2	2133	YHL047C	97	176	1860
YDR127W_mRNA	ARO1	5037	YDR127W	97	176	4764
YDR380W_mRNA	ARO10	2192	YDR380W	156	131	1905
YGL148W_mRNA	ARO2	1349	YGL148W	114	107	1128
YDR035W_mRNA	ARO3	1419	YDR035W	76	233	1110
YBR249C_mRNA	ARO4	1364	YBR249C	147	107	1110
YPR060C_mRNA	ARO7	955	YPR060C	59	128	768
YGL202W_mRNA	ARO8	1759	YGL202W	135	124	1500
YDR421W_mRNA	ARO80	3123	YDR421W	97	176	2850
YHR137W_mRNA	ARO9	1918	YHR137W	280	99	1539
YHR129C_mRNA	ARP1	1375	YHR129C	104	119	1152
YDR106W_mRNA	ARP10	1125	YDR106W	97	176	852
YDL029W_mRNA	ARP2	1369	YDL029W	38	158	1173
YDL029W_pre-mRNA	ARP2	1492	YDL029W	38	158	1296
YJR065C_mRNA	ARP3	1537	YJR065C	39	151	1347
YJL081C_mRNA	ARP4	1740	YJL081C	97	176	1467
YNL059C_mRNA	ARP5	2538	YNL059C	97	176	2265
YLR085C_mRNA	ARP6	1469	YLR085C	49	106	1314
YPR034W_mRNA	ARP7	1748	YPR034W	65	252	1431
YOR141C_mRNA	ARP8	2959	YOR141C	29	287	2643
YMR033W_mRNA	ARP9	1602	YMR033W	43	158	1401
YMR033W_pre-mRNA	ARP9	1688	YMR033W	43	158	1487
YPR199C_mRNA	ARR1	1062	YPR199C	10	170	882
YPR200C_mRNA	ARR2	663	YPR200C	97	176	390
YPR201W_mRNA	ARR3	1485	YPR201W	97	176	1212
YLR392C_mRNA	ART10	1827	YLR392C	97	176	1554
YGR068C_mRNA	ART5	2031	YGR068C	97	176	1758
YLR242C_mRNA	ARV1	1102	YLR242C	80	59	963
YDR101C_mRNA	ARX1	2052	YDR101C	97	176	1779
YPR085C_mRNA	ASA1	1602	YPR085C	97	176	1329
YMR116C_mRNA	ASC1	1201	YMR116C	110	134	957
YMR116C_pre-mRNA	ASC1	1474	YMR116C	110	134	1230
YOR058C_mRNA	ASE1	2928	YOR058C	97	176	2655
YJL115W_mRNA	ASF1	1002	YJL115W	76	89	837
YDL197C_mRNA	ASF2	1848	YDL197C	97	176	1575
YIL130W_mRNA	ASG1	3165	YIL130W	97	176	2892
YJL170C_mRNA	ASG7	900	YJL170C	97	176	627
YKL185W_mRNA	ASH1	2245	YKL185W	359	122	1764
YMR119W_mRNA	ASI1	2059	YMR119W	157	30	1872
YNL159C_mRNA	ASI2	1140	YNL159C	97	176	867
YNL008C_mRNA	ASI3	2301	YNL008C	97	176	2028
YKL052C_mRNA	ASK1	995	YKL052C	42	77	876
YGR097W_mRNA	ASK10	3711	YGR097W	97	176	3438
YDL088C_mRNA	ASM4	1857	YDL088C	97	176	1584
YPR145W_mRNA	ASN1	1920	YPR145W	54	150	1716
YGR124W_mRNA	ASN2	1985	YGR124W	48	221	1716
YDR321W_mRNA	ASP1	1300	YDR321W	41	116	1143
YLR155C_mRNA	ASP3-1	1359	YLR155C	97	176	1086
YLR157C_mRNA	ASP3-2	1359	YLR157C	97	176	1086
YLR158C_mRNA	ASP3-3	1359	YLR158C	97	176	1086
YLR160C_mRNA	ASP3-4	1359	YLR160C	97	176	1086
YPR093C_mRNA	ASR1	1137	YPR093C	97	176	864
YBL069W_mRNA	AST1	1560	YBL069W	97	176	1287
YER101C_mRNA	AST2	1563	YER101C	97	176	1290
YDR184C_mRNA	ATC1	1155	YDR184C	97	176	882
YGL017W_mRNA	ATE1	1681	YGL017W	38	134	1509
YOR377W_mRNA	ATF1	1848	YOR377W	97	176	1575
YGR177C_mRNA	ATF2	1878	YGR177C	97	176	1605
YGL180W_mRNA	ATG1	2964	YGL180W	97	176	2691
YLL042C_mRNA	ATG10	774	YLL042C	97	176	501
YPR049C_mRNA	ATG11	3702	YPR049C	83	85	3534
YBR217W_mRNA	ATG12	921	YBR217W	51	312	558
YPR185W_mRNA	ATG13	2487	YPR185W	97	176	2214
YBR128C_mRNA	ATG14	1305	YBR128C	97	176	1032
YCR068W_mRNA	ATG15	1833	YCR068W	97	176	1560
YMR159C_mRNA	ATG16	723	YMR159C	97	176	450
YLR423C_mRNA	ATG17	1524	YLR423C	97	176	1251
YFR021W_mRNA	ATG18	1704	YFR021W	94	110	1500
YOL082W_mRNA	ATG19	1413	YOL082W	59	109	1245
YNL242W_mRNA	ATG2	5049	YNL242W	97	176	4776
YDL113C_mRNA	ATG20	2082	YDL113C	63	99	1920
YPL100W_mRNA	ATG21	1761	YPL100W	97	176	1488
YCL038C_mRNA	ATG22	1749	YCL038C	84	81	1584
YLR431C_mRNA	ATG23	1632	YLR431C	97	176	1359
YLR189C_mRNA	ATG26	3867	YLR189C	97	176	3594
YJL178C_mRNA	ATG27	952	YJL178C	38	101	813
YPL166W_mRNA	ATG29	912	YPL166W	97	176	639
YNR007C_mRNA	ATG3	1203	YNR007C	97	176	930
YDR022C_mRNA	ATG31	731	YDR022C	57	86	588
YIL146C_mRNA	ATG32	1860	YIL146C	97	176	1587
YLR356W_mRNA	ATG33	909	YLR356W	80	238	591
YOL083W_mRNA	ATG34	1420	YOL083W	94	90	1236
YJL185C_mRNA	ATG36	1152	YJL185C	97	176	879
YLR211C_mRNA	ATG38	1078	YLR211C	58	342	678
YLR211C_pre-mRNA	ATG38	1137	YLR211C	58	342	737
YNL223W_mRNA	ATG4	1578	YNL223W	30	66	1482
YPL149W_mRNA	ATG5	995	YPL149W	77	36	882
YHR171W_mRNA	ATG7	1976	YHR171W	9	77	1890
YBL078C_mRNA	ATG8	870	YBL078C	44	475	351
YDL149W_mRNA	ATG9	3264	YDL149W	97	176	2991
YPR026W_mRNA	ATH1	3906	YPR026W	97	176	3633
YMR301C_mRNA	ATM1	2212	YMR301C	61	81	2070
YNR002C_mRNA	ATO2	1119	YNR002C	97	176	846
YDR384C_mRNA	ATO3	1069	YDR384C	85	159	825
YBL099W_mRNA	ATP1	2224	YBL099W	320	269	1635
YLR393W_mRNA	ATP10	1110	YLR393W	97	176	837
YNL315C_mRNA	ATP11	1053	YNL315C	10	89	954
YJL180C_mRNA	ATP12	1069	YJL180C	5	89	975
YLR295C_mRNA	ATP14	680	YLR295C	58	250	372
YPL271W_mRNA	ATP15	426	YPL271W	30	210	186
YDL004W_mRNA	ATP16	812	YDL004W	54	278	480
YDR377W_mRNA	ATP17	824	YDR377W	107	414	303
YML081C-A_mRNA	ATP18	440	YML081C-A	80	183	177
YOL077W-A_mRNA	ATP19	480	YOL077W-A	50	226	204
YJR121W_mRNA	ATP2	1806	YJR121W	97	176	1533
YPR020W_mRNA	ATP20	531	YPR020W	49	137	345
YDR350C_mRNA	ATP22	2325	YDR350C	97	176	2052
YNR020C_mRNA	ATP23	1083	YNR020C	97	176	810
YMR098C_mRNA	ATP25	2109	YMR098C	97	176	1836
YBR039W_mRNA	ATP3	1193	YBR039W	79	181	933
YPL078C_mRNA	ATP4	1049	YPL078C	67	250	732
YDR298C_mRNA	ATP5	991	YDR298C	180	175	636
YKL016C_mRNA	ATP7	753	YKL016C	96	135	522
YML116W_mRNA	ATR1	1899	YML116W	97	176	1626
YAL020C_mRNA	ATS1	1272	YAL020C	97	176	999
YNL259C_mRNA	ATX1	393	YNL259C	53	121	219
YOR079C_mRNA	ATX2	1095	YOR079C	35	121	939
YFL010W-A_mRNA	AUA1	555	YFL010W-A	97	176	282
YKL004W_mRNA	AUR1	1703	YKL004W	356	144	1203
YOR011W_mRNA	AUS1	4455	YOR011W	97	176	4182
YLR114C_mRNA	AVL9	2428	YLR114C	65	71	2292
YOL078W_mRNA	AVO1	3801	YOL078W	97	176	3528
YMR068W_mRNA	AVO2	1551	YMR068W	97	176	1278
YJR001W_mRNA	AVT1	2003	YJR001W	56	141	1806
YEL064C_mRNA	AVT2	1581	YEL064C	29	112	1440
YKL146W_mRNA	AVT3	2192	YKL146W	21	95	2076
YNL101W_mRNA	AVT4	2519	YNL101W	187	193	2139
YBL089W_mRNA	AVT5	1650	YBL089W	97	176	1377
YER119C_mRNA	AVT6	1617	YER119C	97	176	1344
YIL088C_mRNA	AVT7	1613	YIL088C	73	70	1470
YPR122W_mRNA	AXL1	3897	YPR122W	97	176	3624
YIL140W_mRNA	AXL2	2742	YIL140W	97	176	2469
YIL124W_mRNA	AYR1	1052	YIL124W	58	103	891
YLL063C_mRNA	AYT1	1695	YLL063C	97	176	1422
YOR113W_mRNA	AZF1	3015	YOR113W	97	176	2742
YGR224W_mRNA	AZR1	2112	YGR224W	97	176	1839
YOR134W_mRNA	BAG7	1500	YOR134W	97	176	1227
YBR068C_mRNA	BAP2	2109	YBR068C	77	205	1827
YDR046C_mRNA	BAP3	1992	YDR046C	113	67	1812
YIL015W_mRNA	BAR1	2034	YIL015W	97	176	1761
YKR099W_mRNA	BAS1	2706	YKR099W	97	176	2433
YHR208W_mRNA	BAT1	1389	YHR208W	49	161	1179
YJR148W_mRNA	BAT2	1242	YJR148W	57	57	1128
YJL020C_mRNA	BBC1	3744	YJL020C	97	176	3471
YPL255W_mRNA	BBP1	1437	YPL255W	39	243	1155
YHR040W_mRNA	BCD1	1235	YHR040W	26	111	1098
YMR237W_mRNA	BCH1	2433	YMR237W	89	172	2172
YKR027W_mRNA	BCH2	2484	YKR027W	99	90	2295
YJL095W_mRNA	BCK1	4707	YJL095W	97	176	4434
YER167W_mRNA	BCK2	2826	YER167W	97	176	2553
YDR361C_mRNA	BCP1	1146	YDR361C	43	254	849
YDR375C_mRNA	BCS1	1641	YDR375C	97	176	1368
YIL033C_mRNA	BCY1	1543	YIL033C	108	187	1248
YLR399C_mRNA	BDF1	2442	YLR399C	46	338	2058
YDL070W_mRNA	BDF2	2127	YDL070W	37	176	1914
YAL060W_mRNA	BDH1	1324	YAL060W	58	120	1146
YAL061W_mRNA	BDH2	1524	YAL061W	97	176	1251
YNL039W_mRNA	BDP1	1877	YNL039W	39	56	1782
YOL164W_mRNA	BDS1	2211	YOL164W	97	176	1938
YBR200W_mRNA	BEM1	1974	YBR200W	96	225	1653
YER155C_mRNA	BEM2	6774	YER155C	97	176	6501
YPL115C_mRNA	BEM3	3657	YPL115C	97	176	3384
YPL161C_mRNA	BEM4	2172	YPL161C	97	176	1899
YLR412W_mRNA	BER1	1095	YLR412W	97	176	822
YIL004C_mRNA	BET1	493	YIL004C	19	48	426
YIL004C_pre-mRNA	BET1	624	YIL004C	19	48	557
YPR176C_mRNA	BET2	1131	YPR176C	17	139	975
YKR068C_mRNA	BET3	787	YKR068C	60	148	579
YJL031C_mRNA	BET4	1254	YJL031C	97	176	981
YJL031C_pre-mRNA	BET4	1341	YJL031C	97	176	1068
YML077W_mRNA	BET5	703	YML077W	97	129	477
YJR053W_mRNA	BFA1	1995	YJR053W	97	176	1722
YOR198C_mRNA	BFR1	1816	YOR198C	184	222	1410
YDR299W_mRNA	BFR2	1759	YDR299W	60	97	1602
YGR282C_mRNA	BGL2	1354	YGR282C	83	332	939
YHR101C_mRNA	BIG1	1278	YHR101C	97	176	1005
YHR101C_pre-mRNA	BIG1	1365	YHR101C	97	176	1092
YCL029C_mRNA	BIK1	1593	YCL029C	97	176	1320
YOR304C-A_mRNA	BIL1	501	YOR304C-A	97	176	228
YER016W_mRNA	BIM1	1305	YER016W	97	176	1032
YGR286C_mRNA	BIO2	1371	YGR286C	110	136	1125
YNR058W_mRNA	BIO3	1713	YNR058W	97	176	1440
YNR057C_mRNA	BIO4	984	YNR057C	97	176	711
YNR056C_mRNA	BIO5	1956	YNR056C	97	176	1683
YJR089W_mRNA	BIR1	3135	YJR089W	97	176	2862
YBR270C_mRNA	BIT2	1908	YBR270C	97	176	1635
YJL058C_mRNA	BIT61	1902	YJL058C	97	176	1629
YKL061W_mRNA	BLI1	637	YKL061W	30	268	339
YFL007W_mRNA	BLM10	6702	YFL007W	97	176	6429
YLR408C_mRNA	BLS1	639	YLR408C	97	176	366
YER177W_mRNA	BMH1	1144	YER177W	150	193	801
YDR099W_mRNA	BMH2	1175	YDR099W	180	176	819
YDR099W_pre-mRNA	BMH2	1918	YDR099W	180	176	1562
YPL217C_mRNA	BMS1	3822	YPL217C	97	176	3549
YBR141C_mRNA	BMT2	1284	YBR141C	97	176	1011
